x,y,elapsed_s,velocity_ms,accel_ms2,jerk_ms3,direction,wheel_angle_deg
10.0,12.0,0.266,2.7416,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.291,2.895,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.328,3.3459,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.346,3.4841,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.362,3.6308,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.378,3.7647,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.394,3.9284,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.419,4.1692,0.0,0.0,STATIONARY,0.0
10.0,12.0,0.436,3.5676,-0.0,-0.0027,STATIONARY,0.0
10.0,12.0,0.454,2.2088,0.0,0.0046,STATIONARY,0.0
10.0,12.0,0.47,1.7714,0.0,-0.0003,STATIONARY,0.0
10.0,12.0,0.487,1.2743,0.0,0.0003,STATIONARY,0.0
10.0001,12.0,0.502,0.0807,-0.0759,-4.8051,STATIONARY,0.0
10.0003,12.0,0.518,0.1489,0.041,7.2851,STATIONARY,0.0
10.0004,12.0,0.535,0.2116,0.0234,-1.7399,STATIONARY,0.0
10.0005,12.0,0.552,0.232,0.0181,-0.4723,STATIONARY,0.0
10.0005,12.0,0.569,0.249,0.0132,-0.3442,STATIONARY,0.0
10.0005,12.0,0.586,0.26,0.0078,-0.2232,STATIONARY,0.0
10.0005,12.0,0.604,0.2581,0.0039,-0.3508,STATIONARY,0.0
10.0004,12.0,0.619,0.2552,0.003,-0.0612,STATIONARY,0.0
10.0004,12.0,0.642,0.2396,0.0004,-0.1903,STATIONARY,0.0
10.0004,12.0,0.659,0.2294,-0.0003,-0.0541,STATIONARY,0.0
10.0003,12.0,0.685,0.2056,-0.0011,-0.0533,STATIONARY,0.0
10.0003,12.0,0.704,0.1888,-0.001,0.003,STATIONARY,0.0
10.0003,12.0,0.72,0.1721,-0.0013,-0.0173,STATIONARY,0.0
10.0002,12.0,0.738,0.1595,-0.0015,-0.0078,STATIONARY,0.0
10.0002,12.0,0.76,0.1361,-0.0011,0.0253,STATIONARY,0.0
10.0002,12.0,0.78,0.1234,-0.001,0.0028,STATIONARY,0.0
10.0002,12.0,0.799,0.1125,-0.001,0.001,STATIONARY,0.0
10.0002,12.0,0.815,0.1005,-0.0009,0.0091,STATIONARY,0.0
10.0001,12.0,0.831,0.0917,-0.0009,0.0003,STATIONARY,0.0
10.0001,12.0,0.847,0.0825,-0.0007,0.0087,STATIONARY,0.0
10.0001,12.0,0.864,0.0755,-0.0007,0.0022,STATIONARY,0.0
10.0001,12.0,0.886,0.062,-0.0005,0.0105,STATIONARY,0.0
10.0001,12.0,0.903,0.0548,-0.0005,0.004,STATIONARY,0.0
10.0001,12.0,0.92,0.0496,-0.0004,0.0015,STATIONARY,0.0
10.0001,12.0,0.935,0.0461,-0.0004,0.0018,STATIONARY,0.0
10.0001,12.0,0.95,0.0404,-0.0003,0.0057,STATIONARY,0.0
10.0001,12.0,0.968,0.0318,-0.0003,0.0082,STATIONARY,0.0
10.0001,12.0,0.984,0.0315,-0.0003,-0.0044,STATIONARY,0.0
10.0,12.0,1.001,0.0285,-0.0003,0.005,STATIONARY,0.0
10.0,12.0,1.024,0.0239,-0.0002,0.0028,STATIONARY,0.0
10.0,12.0,1.04,0.0167,-0.0001,0.0083,STATIONARY,0.0
10.0,12.0,1.06,0.018,-0.0002,-0.0042,STATIONARY,0.0
10.0,12.0,1.076,0.0145,-0.0001,0.0029,STATIONARY,0.0
10.0,12.0,1.093,0.0126,-0.0001,0.0005,STATIONARY,0.0
10.0,12.0,1.109,0.013,-0.0001,0.0003,STATIONARY,0.0
10.0,12.0,1.134,0.0107,-0.0001,0.0023,STATIONARY,0.0
10.0,12.0,1.152,0.0079,-0.0001,0.0013,STATIONARY,0.0
10.0,12.0,1.172,0.0082,-0.0001,0.0001,STATIONARY,0.0
10.0,12.0,1.19,0.0064,-0.0001,0.001,STATIONARY,0.0
10.0,12.0,1.206,0.005,-0.0001,0.0002,STATIONARY,0.0
10.0,12.0,1.222,0.0041,-0.0001,0.0003,STATIONARY,0.0
10.0,12.0,1.24,0.0034,-0.0001,0.0004,STATIONARY,0.0
10.0,12.0,1.262,0.0049,-0.0,0.0009,STATIONARY,0.0
10.0,12.0,1.279,0.0033,-0.0,0.0004,STATIONARY,0.0
10.0,12.0,1.295,0.0017,-0.0,0.0,STATIONARY,0.0
10.0,12.0,1.311,0.0009,-0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.327,0.0022,-0.0,0.0002,STATIONARY,0.0
10.0,12.0,1.343,0.0035,-0.0,0.0001,STATIONARY,0.0
10.0,12.0,1.36,0.0004,-0.0,0.0005,STATIONARY,0.0
10.0,12.0,1.377,0.0021,-0.0,-0.0001,STATIONARY,0.0
10.0,12.0,1.398,0.0029,-0.0,0.0,STATIONARY,0.0
10.0,12.0,1.414,0.001,-0.0,0.0006,STATIONARY,0.0
10.0,12.0,1.432,0.0014,-0.0,-0.0003,STATIONARY,0.0
10.0,12.0,1.448,0.0,-0.0002,-0.0095,STATIONARY,0.0
10.0,12.0,1.464,0.0,0.0001,0.0143,STATIONARY,0.0
10.0,12.0,1.486,0.0018,0.0,-0.0039,STATIONARY,0.0
10.0,12.0,1.503,0.0004,0.0,-0.0004,STATIONARY,0.0
10.0,12.0,1.52,0.0001,0.0,-0.0003,STATIONARY,0.0
10.0,12.0,1.537,0.0007,-0.0,-0.0004,STATIONARY,0.0
10.0,12.0,1.553,0.0012,-0.0,0.0,STATIONARY,0.0
10.0,12.0,1.569,0.0009,-0.0,-0.0002,STATIONARY,0.0
