Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,change_gear_times
8110711751,8.1107,71.102837,-107.499840,-0.000415,0.000000,1
8160711751,8.1607,71.135429,-107.499878,-0.000331,0.000000,1
8210711752,8.2107,71.171387,-107.499969,-0.000169,0.000000,1
8260711753,8.2607,71.211769,-107.499962,-0.000224,0.000000,1
8310711754,8.3107,71.255409,-107.499832,-0.000629,0.000000,1
8360711754,8.3607,71.302559,-107.499840,-0.000667,0.000000,1
8410711755,8.4107,71.352661,-107.499794,-0.000848,0.000000,1
8460711756,8.4607,71.406853,-107.499832,-0.000880,0.000000,1
8510711757,8.5107,71.464127,-107.499939,-0.000712,0.000000,1
8560711757,8.5607,71.525322,-107.500084,-0.000487,0.000000,1
8610711758,8.6107,71.589668,-107.500160,-0.000385,0.000000,1
8660711759,8.6607,71.658661,-107.500214,-0.000381,0.000000,1
8710711759,8.7107,71.730873,-107.500259,-0.000381,0.000000,1
8760711760,8.7607,71.807487,-107.500313,-0.000381,0.000000,1
8810711761,8.8107,71.887184,-107.500359,-0.000381,0.000000,1
8860711762,8.8607,71.971115,-107.500404,-0.000381,0.000000,1
8910711762,8.9107,72.058029,-107.500458,-0.000381,0.000000,1
8960711763,8.9607,72.149078,-107.500504,-0.000380,0.000000,1
9010711764,9.0107,72.243034,-107.500557,-0.000380,0.000000,1
9060711765,9.0607,72.340988,-107.500603,-0.000380,0.000000,1
9110711765,9.1107,72.441772,-107.500648,-0.000380,0.000000,1
9160711766,9.1607,72.546455,-107.500702,-0.000380,0.000000,1
9210711767,9.2107,72.653908,-107.500748,-0.000380,0.000000,1
9260711768,9.2607,72.765129,-107.500801,-0.000380,0.000000,1
9310711768,9.3107,72.879044,-107.500847,-0.000380,0.000000,1
9360711769,9.3607,72.996597,-107.500893,-0.000380,0.000000,1
9410711770,9.4107,73.116783,-107.500946,-0.000380,0.000000,1
9460711771,9.4607,73.240501,-107.500992,-0.000380,0.000000,1
9510711771,9.5107,73.366798,-107.501045,-0.000380,0.000000,1
9560711772,9.5607,73.496506,-107.501091,-0.000380,0.000000,1
9610711773,9.6107,73.628716,-107.501137,-0.000380,0.000000,1
9660711774,9.6607,73.764221,-107.501190,-0.000380,0.000000,1
9710711774,9.7107,73.902168,-107.501259,-0.000347,0.000000,1
9760711775,9.7607,74.042442,-107.501312,-0.000295,0.000000,1
9810711776,9.8107,74.184616,-107.501442,-0.000085,0.000000,1
9860711777,9.8607,74.329376,-107.501480,0.000003,0.000000,1
9910711777,9.9107,74.476334,-107.501541,0.000198,0.000000,1
9960711778,9.9607,74.625999,-107.501541,0.000268,0.000000,1
10010711779,10.0107,74.777939,-107.501549,0.000441,0.000000,1
