Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,trials (times)
28183221755,28.1832,71.000000,-107.500000,0.000000,0.000000,1
28233221755,28.2332,71.000000,-107.500000,0.000000,0.000000,1
28283221756,28.2832,71.000000,-107.500000,0.000000,0.000000,1
28333221757,28.3332,71.000000,-107.500000,0.000000,0.000000,1
28383221758,28.3832,71.000000,-107.500000,0.000000,0.000000,1
28433221758,28.4332,71.000000,-107.500000,0.000000,0.000000,1
28483221759,28.4832,71.000000,-107.500000,0.000000,0.000000,1
28533221760,28.5332,71.000000,-107.500000,0.000000,0.000000,1
28583221761,28.5832,71.000000,-107.500000,0.000000,0.000000,1
28633221761,28.6332,71.000000,-107.500000,0.000000,0.000000,1
28683221762,28.6832,71.000000,-107.500000,0.000000,0.000000,1
28733221763,28.7332,71.000000,-107.500000,0.000000,0.000000,1
28783221764,28.7832,71.000000,-107.500000,0.000000,0.000000,1
28833221764,28.8332,71.000000,-107.500000,0.000000,0.000000,1
28883221765,28.8832,71.000000,-107.500000,0.000000,0.000000,1
28933221766,28.9332,71.000000,-107.500000,0.000000,0.000000,1
28983221767,28.9832,71.000000,-107.500000,0.000000,0.000000,1
29033221767,29.0332,71.000000,-107.500000,0.000000,0.000000,1
29083221768,29.0832,71.000000,-107.500000,0.000000,0.000000,1
29133221769,29.1332,71.000000,-107.500000,0.000000,0.000000,1
29183221769,29.1832,71.000000,-107.500000,0.000000,0.000000,1
29233221770,29.2332,71.000000,-107.500000,0.000000,0.000000,1
29283221771,29.2832,71.000000,-107.500000,0.000000,0.000000,1
29333221772,29.3332,71.020287,-107.500000,0.000006,0.000000,1
29383221772,29.3832,71.075020,-107.500000,0.000011,0.000000,1
29433221773,29.4332,71.149757,-107.499939,-0.000134,0.000000,1
29483221774,29.4832,71.235435,-107.499916,-0.000187,0.000000,1
29533221775,29.5332,71.328423,-107.499870,-0.000373,0.000000,1
29583221775,29.5832,71.427094,-107.499969,-0.000211,0.000000,1
29633221776,29.6332,71.530403,-107.499969,-0.000371,0.000000,1
29683221777,29.6832,71.637741,-107.500069,-0.000213,0.000000,1
29733221778,29.7332,71.748703,-107.500069,-0.000369,0.000000,1
29783221778,29.7832,71.863014,-107.500160,-0.000215,0.000000,1
29833221779,29.8332,71.980522,-107.500160,-0.000367,0.000000,1
29883221780,29.8832,72.101097,-107.500259,-0.000217,0.000000,1
29933221781,29.9332,72.224663,-107.500259,-0.000364,0.000000,1
29983221781,29.9832,72.351135,-107.500359,-0.000219,0.000000,1
30033221782,30.0332,72.480469,-107.500359,-0.000362,0.000000,1
30083221783,30.0832,72.612602,-107.500458,-0.000221,0.000000,1
30133221784,30.1332,72.747520,-107.500458,-0.000360,0.000000,1
30183221784,30.1832,72.885155,-107.500557,-0.000223,0.000000,1
30233221785,30.2332,73.025475,-107.500557,-0.000357,0.000000,1
30283221786,30.2832,73.168449,-107.500648,-0.000225,0.000000,1
30333221787,30.3332,73.314034,-107.500648,-0.000355,0.000000,1
30383221787,30.3832,73.462204,-107.500748,-0.000227,0.000000,1
30433221788,30.4332,73.612907,-107.500748,-0.000352,0.000000,1
30483221789,30.4832,73.766113,-107.500847,-0.000229,0.000000,1
30533221790,30.5332,73.921806,-107.500854,-0.000350,0.000000,1
30583221790,30.5832,74.079933,-107.500946,-0.000232,0.000000,1
30633221791,30.6332,74.240456,-107.500954,-0.000347,0.000000,1
30683221792,30.6832,74.403366,-107.501045,-0.000234,0.000000,1
30733221793,30.7332,74.568596,-107.501053,-0.000344,0.000000,1
30783221793,30.7832,74.736137,-107.501129,-0.000236,0.000000,1
30833221794,30.8332,74.905952,-107.501152,-0.000341,0.000000,1
30883221795,30.8832,75.077034,-107.501236,-0.000232,0.000000,1
30933221796,30.9332,75.213158,-107.501266,-0.000192,0.000000,1
30983221796,30.9832,75.285736,-107.501831,0.000803,0.000000,1
31033221797,31.0332,75.299713,-107.502380,0.001764,0.000000,1
31083221798,31.0832,75.299736,-107.502380,0.001765,0.000000,1
31133221799,31.1332,75.299873,-107.502380,0.001765,0.000000,1
31183221799,31.1832,75.300018,-107.502373,0.001765,-0.311609,1
31233221800,31.2332,75.300148,-107.502373,0.001765,-0.311609,1
31283221801,31.2832,75.300255,-107.502373,0.001765,-0.311609,1
31333221802,31.3332,75.300346,-107.502373,0.001766,-0.311609,1
31383221802,31.3832,75.298103,-107.502670,0.001599,-0.311609,1
31433221803,31.4332,75.295982,-107.503113,0.001271,-0.311609,1
31483221804,31.4832,75.294044,-107.503365,0.001117,-0.311609,1
31533221805,31.5332,75.292122,-107.503769,0.000816,-0.311609,1
31583221805,31.5832,75.290329,-107.504013,0.000679,-0.311609,1
31633221806,31.6332,75.288475,-107.504402,0.000385,-0.311609,1
31683221807,31.6832,75.286690,-107.504646,0.000247,-0.311609,1
31733221807,31.7332,75.284790,-107.505035,-0.000058,-0.311609,1
31783221808,31.7832,75.282898,-107.505272,-0.000212,-0.311609,1
31833221809,31.8332,75.280869,-107.505684,-0.000535,-0.311609,1
31883221810,31.8832,75.278831,-107.505943,-0.000707,-0.311609,1
31933221810,31.9332,75.276634,-107.506378,-0.001050,-0.311609,1
31983221811,31.9832,75.274429,-107.506660,-0.001241,-0.311609,1
32033221812,32.0332,75.272072,-107.507126,-0.001604,-0.311609,1
32083221813,32.0832,75.269691,-107.507439,-0.001816,-0.311609,1
32133221813,32.1332,75.267159,-107.507919,-0.002199,-0.311609,1
32183221814,32.1832,75.264610,-107.508270,-0.002431,-0.311609,1
32233221815,32.2332,75.261909,-107.508774,-0.002834,-0.311609,1
32283221816,32.2832,75.259209,-107.509125,-0.003086,-0.311609,1
32333221816,32.3332,75.256340,-107.509674,-0.003508,-0.311609,1
32383221817,32.3832,75.253456,-107.510063,-0.003783,-0.311609,1
32433221818,32.4332,75.250397,-107.510612,-0.004231,-0.311609,1
32483221819,32.4832,75.247292,-107.511040,-0.004533,-0.311609,1
32533221819,32.5332,75.244026,-107.511627,-0.005005,-0.311609,1
32583221820,32.5832,75.238411,-107.512428,-0.005860,-0.311609,1
32633221821,32.6332,75.221237,-107.515076,-0.007949,-0.311609,1
32683221822,32.6832,75.195366,-107.519287,-0.010919,-0.311609,1
32733221822,32.7332,75.162582,-107.524277,-0.014910,-0.311609,1
32783221823,32.7832,75.130302,-107.529121,-0.018745,-0.311609,1
32833221824,32.8332,75.097603,-107.533844,-0.022668,-0.311609,1
32883221825,32.8832,75.065727,-107.538368,-0.026426,-0.311609,1
32933221825,32.9332,75.034615,-107.542694,-0.030110,-0.311609,1
32983221826,32.9832,75.004021,-107.546738,-0.033821,-0.311609,1
33033221827,33.0332,74.972198,-107.550865,-0.037629,-0.311609,1
33083221828,33.0832,74.938919,-107.555054,-0.041567,-0.311609,1
33133221828,33.1332,74.905235,-107.559128,-0.045581,-0.311609,1
33183221829,33.1832,74.871056,-107.563095,-0.049676,-0.311609,1
33233221830,33.2332,74.836365,-107.566978,-0.053872,-0.311609,1
33283221831,33.2832,74.801872,-107.570778,-0.057888,-0.311609,1
33333221831,33.3332,74.768044,-107.574371,-0.061959,-0.311609,1
33383221832,33.3832,74.734390,-107.577721,-0.066009,-0.311609,1
33433221833,33.4332,74.701103,-107.580994,-0.069869,-0.311609,1
33483221834,33.4832,74.667740,-107.584137,-0.073774,-0.311609,1
33533221834,33.5332,74.634254,-107.587097,-0.077762,-0.311609,1
33583221835,33.5832,74.600784,-107.589928,-0.081706,-0.311609,1
33633221836,33.6332,74.565620,-107.592804,-0.085827,-0.311609,1
33683221837,33.6832,74.530235,-107.595497,-0.089988,-0.311609,1
33733221837,33.7332,74.494942,-107.598022,-0.094269,-0.311609,1
33783221838,33.7832,74.459793,-107.600426,-0.098285,-0.311609,1
33833221839,33.8332,74.423531,-107.602760,-0.102614,-0.311609,1
33883221840,33.8832,74.387215,-107.605019,-0.106857,-0.311609,1
33933221840,33.9332,74.351059,-107.607285,-0.111165,-0.311609,1
33983221841,33.9832,74.313843,-107.609200,-0.115556,-0.311609,1
34033221842,34.0332,74.275566,-107.611160,-0.120140,-0.311609,1
34083221843,34.0832,74.237572,-107.612869,-0.124584,-0.311609,1
34133221843,34.1332,74.199471,-107.614540,-0.129203,-0.311609,1
34183221844,34.1832,74.160316,-107.615860,-0.133758,-0.311609,1
34233221845,34.2332,74.121094,-107.617241,-0.138484,-0.311609,1
34283221845,34.2832,74.081841,-107.618317,-0.143140,-0.311609,1
34333221846,34.3332,74.042870,-107.619331,-0.147786,-0.311609,1
34383221847,34.3832,74.003891,-107.620033,-0.152324,-0.311609,1
34433221848,34.4332,73.965218,-107.620697,-0.156925,-0.311609,1
34483221848,34.4832,73.926682,-107.621010,-0.161436,-0.311609,1
34533221849,34.5332,73.888252,-107.621284,-0.166043,-0.311609,1
34583221850,34.5832,73.849930,-107.621246,-0.170527,-0.311609,1
34633221851,34.6332,73.811638,-107.621201,-0.175171,-0.311609,1
34683221851,34.6832,73.773064,-107.620850,-0.179627,-0.311609,1
34733221852,34.7332,73.730843,-107.620087,-0.184728,-0.311609,1
34783221853,34.7832,73.688789,-107.619255,-0.189444,-0.311609,1
34833221854,34.8332,73.647270,-107.618149,-0.194512,-0.311609,1
34883221854,34.8832,73.606148,-107.616959,-0.199212,-0.311609,1
34933221855,34.9332,73.564888,-107.615410,-0.204220,-0.311609,1
34983221856,34.9832,73.524124,-107.613846,-0.208808,-0.311609,1
35033221857,35.0332,73.483658,-107.611900,-0.213924,-0.311609,1
35083221857,35.0832,73.443565,-107.609985,-0.218381,-0.311609,1
35133221858,35.1332,73.403748,-107.607780,-0.223279,-0.311609,1
35183221859,35.1832,73.364235,-107.605499,-0.227721,-0.311609,1
35233221860,35.2332,73.324356,-107.602768,-0.232496,-0.311609,1
35283221860,35.2832,73.282837,-107.599976,-0.237543,-0.311609,1
35333221861,35.3332,73.241646,-107.597015,-0.242336,-0.311609,1
35383221862,35.3832,73.200691,-107.593979,-0.247264,-0.311609,1
35433221863,35.4332,73.159859,-107.590645,-0.252105,-0.311609,1
35483221863,35.4832,73.119293,-107.587273,-0.256964,-0.311609,1
35533221864,35.5332,73.078842,-107.583572,-0.261683,-0.311609,1
35583221865,35.5832,73.038643,-107.579842,-0.266494,-0.311609,1
35633221866,35.6332,72.998688,-107.575775,-0.271201,-0.311609,1
35683221866,35.6832,72.958946,-107.571678,-0.275991,-0.311609,1
35733221867,35.7332,72.919319,-107.567314,-0.280598,-0.311609,1
35783221868,35.7832,72.879814,-107.562866,-0.285346,-0.311609,1
35833221869,35.8332,72.840553,-107.558136,-0.289981,-0.311609,1
35883221869,35.8832,72.801414,-107.553360,-0.294706,-0.311609,1
35933221870,35.9332,72.762321,-107.548309,-0.299263,-0.311609,1
