Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,change_gear_times
11429619508,11.4296,71.000000,-107.500000,0.000000,0.000000,1
11479619509,11.4796,71.000000,-107.500000,0.000000,0.000000,1
11529619509,11.5296,71.000000,-107.500000,0.000000,0.000000,1
11579619510,11.5796,71.000000,-107.500000,0.000000,0.000000,1
11629619511,11.6296,71.000000,-107.500000,0.000000,0.000000,1
11679619512,11.6796,71.000000,-107.500000,0.000000,0.000000,1
11729619512,11.7296,71.000000,-107.500000,0.000000,0.000000,1
11779619513,11.7796,71.000000,-107.500000,0.000000,0.000000,1
11829619514,11.8296,71.000000,-107.500000,0.000000,0.000000,1
11879619515,11.8796,71.000000,-107.500000,0.000000,0.000000,1
11929619515,11.9296,71.000000,-107.500000,0.000000,0.000000,1
11979619516,11.9796,71.000000,-107.500000,0.000000,0.000000,1
12029619517,12.0296,71.000000,-107.500000,0.000000,0.000000,1
12079619518,12.0796,71.000000,-107.500000,0.000000,0.000000,1
12129619518,12.1296,71.000000,-107.500000,0.000000,0.000000,1
12179619519,12.1796,71.000000,-107.500000,0.000000,0.000000,1
12229619520,12.2296,71.000000,-107.500000,0.000000,0.000000,1
12279619520,12.2796,71.000000,-107.500000,0.000000,0.000000,1
12329619521,12.3296,71.000000,-107.500000,0.000000,0.000000,1
12379619522,12.3796,71.000000,-107.500000,0.000000,0.000000,1
12429619523,12.4296,71.000000,-107.500000,0.000000,0.000000,1
12479619523,12.4796,71.020287,-107.500000,0.000006,0.000000,1
12529619524,12.5296,71.075020,-107.500000,0.000010,0.000000,1
12579619525,12.5796,71.149574,-107.499969,-0.000052,0.000000,1
12629619526,12.6296,71.236534,-107.499916,-0.000187,0.000000,1
12679619526,12.6796,71.331589,-107.499802,-0.000555,0.000000,1
12729619527,12.7296,71.432571,-107.499763,-0.000749,0.000000,1
12779619528,12.7796,71.537903,-107.499695,-0.001108,0.000000,1
12829619529,12.8296,71.647484,-107.499733,-0.001277,0.000000,1
12879619529,12.8796,71.760406,-107.499756,-0.001613,0.000000,1
12929619530,12.9296,71.876930,-107.499847,-0.001765,0.000000,1
12979619531,12.9796,71.996407,-107.499947,-0.002077,0.000000,1
13029619532,13.0296,72.119194,-107.500145,-0.002212,0.000000,1
13079619532,13.0796,72.244751,-107.500313,-0.002503,0.000000,1
13129619533,13.1296,72.373459,-107.500572,-0.002622,0.000000,1
13179619534,13.1796,72.504822,-107.500824,-0.002891,0.000000,1
13229619535,13.2296,72.639214,-107.501160,-0.002994,0.000000,1
13279619535,13.2796,72.776192,-107.501472,-0.003242,0.000000,1
13329619536,13.3296,72.916100,-107.501884,-0.003329,0.000000,1
13379619537,13.3796,73.058510,-107.502289,-0.003556,0.000000,1
13429619538,13.4296,73.203758,-107.502762,-0.003627,0.000000,1
13479619538,13.4796,73.351456,-107.503227,-0.003833,0.000000,1
13529619539,13.5296,73.501900,-107.503777,-0.003890,0.000000,1
13579619540,13.5796,73.654716,-107.504303,-0.004076,0.000000,1
13629619541,13.6296,73.810196,-107.504921,-0.004118,0.000000,1
13679619541,13.6796,73.967995,-107.505493,-0.004285,0.000000,1
13729619542,13.7296,74.128365,-107.506172,-0.004314,0.000000,1
13779619543,13.7796,74.291008,-107.506821,-0.004462,0.000000,1
